,UHI Presence,Ecological Evaluation,2015,2021,2024,Change (%)
> 0.02,Stronger UHI,Worse,37.106385573189044,45.33022645041724,46.625477173765766,9.519091600576722
0.01 to 0.02,Strong UHI,Bad,5.912451493733383,3.9624435228192625,2.598935869998681,-3.313515623734702
0 to 0.01,Moderate UHI,Normal,5.924738408553245,4.653087123888742,3.0511042065785223,-2.8736342019747227
-0.01 to 0,Weak UHI,Good,7.729189029493846,4.205013849915579,3.719628430879655,-4.009560598614192
< -0.01,No UHI,Excellent,43.327235495030486,41.84922905295918,44.00485431877738,0.6776188237468972
