,UHI Presence,Ecological Evaluation,2015,2018,2021,2024,Change (%)
> 0.02,Stronger UHI,Worse,51.18916302353039,39.731647511133545,45.96471770489413,45.501764683449196,-5.687398340081195
0.01 to 0.02,Strong UHI,Bad,3.131070222665333,5.016752991198833,4.197261366663659,3.7587111476377832,0.6276409249724502
0 to 0.01,Moderate UHI,Normal,2.3602573487983234,4.9181508909180796,3.93218578987896,3.536279222710358,1.1760218739120347
-0.01 to 0,Weak UHI,Good,2.585294424734116,4.934550692589811,3.680498326465547,3.3292937338184405,0.7439993090843244
< -0.01,No UHI,Excellent,40.69972644743737,45.32989668016974,42.03327600898282,43.73609718631175,3.036370738874382
