,UHI Presence,Ecological Evaluation,2020,2021,2022,2023,2024,Change (%)
> 0.02,Stronger UHI,Worse,49.850942123042714,61.095860108011856,49.743781158918715,45.853518775226746,56.27113543325044,6.420193310207729
0.01 to 0.02,Strong UHI,Bad,4.286807103546839,3.30923221890654,4.54452157859795,5.094577211430097,3.402793119873943,-0.884013983672896
0 to 0.01,Moderate UHI,Normal,4.524701869913039,3.370026667579038,4.561350470175123,5.427698817596729,3.3943223436275067,-1.130379526285532
-0.01 to 0,Weak UHI,Good,4.8685980524276395,3.3419745168217956,4.66687246931711,5.5356658904166505,3.1985280208501354,-1.670070031577504
< -0.01,No UHI,Excellent,36.35542180153444,28.76549236943443,36.37311837486027,37.97688979626964,33.59422517564075,-2.761196625893689
